Included,File name,PID,Landing page,Omission reason (if any)
Yes,SE-Deg_eco_2014_CP_flag.txt,11676/rey8ETUvTCd5NAnQKXipgR-2,https://hdl.handle.net/11676/rey8ETUvTCd5NAnQKXipgR-2,
Yes,SE-Deg_eco_2015_CP_flag.txt,11676/6XODQQxxj55OzBa7jHL-DVMv,https://hdl.handle.net/11676/6XODQQxxj55OzBa7jHL-DVMv,
Yes,SE-Deg_eco_2016_CP_flag.txt,11676/qxR_ukt-AK_9cis1EOAFbGj3,https://hdl.handle.net/11676/qxR_ukt-AK_9cis1EOAFbGj3,
Yes,SE-Deg_eco_2017_CP_flag.txt,11676/OWMIzTiEv4VEvevGoUqWd1mK,https://hdl.handle.net/11676/OWMIzTiEv4VEvevGoUqWd1mK,
Yes,SE-Deg_eco_2018_CP_flag.txt,11676/1BGjJVpSjWItSg8PBRIPao_Z,https://hdl.handle.net/11676/1BGjJVpSjWItSg8PBRIPao_Z,
Yes,SE-Svb_eco_2018_CP_flag.txt,11676/V8sBXtb-8ZuOWGyFqMyxKVSx,https://hdl.handle.net/11676/V8sBXtb-8ZuOWGyFqMyxKVSx,
Yes,SE-Svb_eco_2017_CP_flag.txt,11676/3OLbO4V2Ep_G7VCwvH610ZyY,https://hdl.handle.net/11676/3OLbO4V2Ep_G7VCwvH610ZyY,
Yes,SE-Svb_eco_2016_CP_flag.txt,11676/KPmRodODVXmB7sxiELlF7gvC,https://hdl.handle.net/11676/KPmRodODVXmB7sxiELlF7gvC,
Yes,SE-Svb_eco_2015_CP_flag.txt,11676/pgz9zh2Dnp0Wd-iAVkJFqtGw,https://hdl.handle.net/11676/pgz9zh2Dnp0Wd-iAVkJFqtGw,
Yes,SE-Svb_eco_2014_CP_flag.txt,11676/0mklium4ncj3p1bNk-brOhWP,https://hdl.handle.net/11676/0mklium4ncj3p1bNk-brOhWP,
